model_id,family,size_b,reasoning,size_group,villager_accuser__target_shift__trust,villager_accuser__target_shift__trust_ci95,villager_accuser__target_shift__trust_n,villager_accuser__target_shift__neutral,villager_accuser__target_shift__neutral_ci95,villager_accuser__target_shift__neutral_n,villager_accuser__target_shift__distrust,villager_accuser__target_shift__distrust_ci95,villager_accuser__target_shift__distrust_n,villager_accuser__accuser_shift__trust,villager_accuser__accuser_shift__trust_ci95,villager_accuser__accuser_shift__trust_n,villager_accuser__accuser_shift__neutral,villager_accuser__accuser_shift__neutral_ci95,villager_accuser__accuser_shift__neutral_n,villager_accuser__accuser_shift__distrust,villager_accuser__accuser_shift__distrust_ci95,villager_accuser__accuser_shift__distrust_n,wolf_accuser__target_shift__trust,wolf_accuser__target_shift__trust_ci95,wolf_accuser__target_shift__trust_n,wolf_accuser__target_shift__neutral,wolf_accuser__target_shift__neutral_ci95,wolf_accuser__target_shift__neutral_n,wolf_accuser__target_shift__distrust,wolf_accuser__target_shift__distrust_ci95,wolf_accuser__target_shift__distrust_n,wolf_accuser__accuser_shift__trust,wolf_accuser__accuser_shift__trust_ci95,wolf_accuser__accuser_shift__trust_n,wolf_accuser__accuser_shift__neutral,wolf_accuser__accuser_shift__neutral_ci95,wolf_accuser__accuser_shift__neutral_n,wolf_accuser__accuser_shift__distrust,wolf_accuser__accuser_shift__distrust_ci95,wolf_accuser__accuser_shift__distrust_n
meta-llama/Llama-3.1-8B-Instruct,Llama,8.0,False,5-9B,0.7163636363636363,0.13140618568551912,825,-0.023166023166023165,0.238069730579857,259,0.5714285714285714,0.40902732094848704,77,-2.591533180778032,0.08899837459452403,874,-2.7037037037037037,0.13572894625641704,270,-2.911111111111111,0.1372697007027795,90,0.5219298245614035,0.17927320365674412,456,-0.12386706948640483,0.2115023758569546,331,0.34035087719298246,0.22024037463487667,285,-2.626984126984127,0.11703358838575345,504,-2.657817109144543,0.1416314938759662,339,-2.822674418604651,0.09203846457650662,344
mistralai/Ministral-3-8B-Instruct-2512,Mistral,8.0,False,5-9B,1.7234848484848484,0.10342693460203412,792,0.9731800766283525,0.21608603353420247,261,0.42574257425742573,0.3825186069439849,101,-1.3448687350835322,0.10900199282861825,838,-1.4172661870503598,0.221063753216597,278,-0.5652173913043478,0.45233852545534603,115,1.755011135857461,0.1389570141821481,449,0.7947019867549668,0.19688757392427927,302,0.11006289308176101,0.2044774630887561,318,-1.407707910750507,0.14398866184110182,493,-1.1560509554140128,0.21920854029401296,314,-0.21635883905013192,0.24608061328269543,379
Qwen/Qwen3.5-9B,Qwen,9.0,True,5-9B,1.2375690607734806,0.0770384994726852,905,0.9217877094972067,0.16900777868048572,179,0.43478260869565216,0.37193286008516996,69,-0.5089567966280295,0.07179657203643562,949,-0.6243386243386243,0.21216027849855087,189,-0.22988505747126436,0.44599328117326276,87,1.242544731610338,0.09620956008829694,503,0.7557603686635944,0.14599305047365596,217,-0.18895348837209303,0.14974437385542094,344,-0.33271028037383177,0.10034251107635571,535,-0.12612612612612611,0.18444317043662517,222,0.3049645390070922,0.153556244208194,423
Qwen/Qwen3.5-9B-nothink,Qwen,9.0,False,5-9B,0.9732620320855615,0.10783916346652535,748,0.8407407407407408,0.19435393258017014,270,0.4177215189873418,0.38939518041025084,79,-0.5207547169811321,0.11225098920042437,795,-0.8924731182795699,0.23853323997291123,279,-1.292929292929293,0.4591845866799364,99,0.8739669421487604,0.15496417126046846,484,0.6851851851851852,0.20105419639710032,270,0.20152091254752852,0.1975948528468007,263,-0.46476190476190476,0.1656332926997206,525,-0.5507246376811594,0.23426525474691864,276,-0.37575757575757573,0.23878313446245347,330
nvidia/NVIDIA-Nemotron-Nano-9B-v2,Nemotron,9.0,True,5-9B,1.2066752246469834,0.1252198786166143,779,1.1471698113207547,0.20445502264423257,265,0.8620689655172413,0.3191926173989873,116,-0.2285012285012285,0.09404152221959147,814,-0.09025270758122744,0.17943361720670958,277,-0.8450704225352113,0.32384246702823943,142,1.2359550561797752,0.17079011828851498,445,0.9826989619377162,0.1908207500542085,289,0.6991150442477876,0.17150403659480104,339,-0.09071729957805907,0.12549242563347132,474,-0.02572347266881029,0.16214340192775717,311,-0.5210918114143921,0.19891284583376584,403
Qwen/Qwen3-14B,Qwen,14.0,True,10-29B,1.1772665764546684,0.0897587003355331,739,0.906801007556675,0.11693198183574734,397,-0.08,0.6189794611562917,25,-0.08519003931847968,0.038079972288615024,763,-0.2334096109839817,0.11676352377041867,437,0.2647058823529412,0.7275941069301971,34,1.3297297297297297,0.12882034548347174,370,0.6394557823129252,0.10638599436946479,441,0.04580152671755725,0.08527796725573897,262,-0.012468827930174564,0.05642582240094445,401,0.10752688172043011,0.09346410396942792,465,0.08695652173913043,0.12839684755013206,322
microsoft/phi-4,Phi,14.0,False,10-29B,1.3006134969325154,0.11066326442395916,652,1.1478260869565218,0.13542219194263805,460,0.5365853658536586,0.5648263171897401,41,-0.3362193362193362,0.09525468828393571,693,-0.45588235294117646,0.1283831765814298,476,-0.45614035087719296,0.49566591872503607,57,1.3157894736842106,0.1700941789233662,285,1.0160965794768613,0.13339685899362333,497,1.1549295774647887,0.15539179725719526,284,-0.5431309904153354,0.1615778989934639,313,-0.36973180076628354,0.11918555096600766,522,-0.838150289017341,0.1762210654898957,346
mistralai/Ministral-3-14B-Instruct-2512,Mistral,14.0,False,10-29B,1.2943305186972256,0.10643600424593704,829,0.7640845070422535,0.18872883532233603,284,-0.02127659574468085,0.5794749704382226,47,-0.9795454545454545,0.102066901008232,880,-1.5387205387205387,0.1911104342205815,297,-1.0892857142857142,0.5894338578053289,56,1.1940928270042195,0.13866297748022177,474,0.4738372093023256,0.17566288729540555,344,0.4588235294117647,0.21361019189094108,255,-1.12,0.1425633622801842,525,-1.170940170940171,0.19433716435673212,351,-0.625,0.22679007779209642,312
openai/gpt-oss-20b-nr,GPT-OSS,20.0,False,10-29B,0.786697247706422,0.06488366907774953,872,0.6854460093896714,0.12093937153067222,213,0.4507042253521127,0.1957582321621093,71,-0.044662309368191724,0.03719566672371803,918,-0.013157894736842105,0.13373610512103357,228,0.30120481927710846,0.2785568707313687,83,0.6835664335664335,0.08808899321126278,572,0.5961538461538461,0.12470371090129588,260,0.16317991631799164,0.11465162355603302,239,0.016420361247947456,0.047974609563416315,609,-0.072992700729927,0.10496723378342473,274,0.3795379537953795,0.133944452964717,303
openai/gpt-oss-20b-r,GPT-OSS,20.0,True,10-29B,0.8745837957824639,0.06348824178350189,901,0.74,0.12600015633714476,200,0.38596491228070173,0.21246678809136038,57,-0.1643835616438356,0.04510084629830631,949,-0.23963133640552994,0.11857168229901636,217,0.27692307692307694,0.27352256162148003,65,0.824468085106383,0.08559793063205143,564,0.6235294117647059,0.12124708741294786,255,0.16733067729083664,0.11147241016059657,251,-0.01309328968903437,0.041351144014210306,611,-0.053231939163498096,0.11206359050711923,263,0.4212218649517685,0.1128880043875796,311
