size_group,n_models,true_villager,true_villager_ci95,n_villager,true_wolf,true_wolf_ci95,n_wolf,separation
<=4B,12,-0.5227632620744259,0.02200162267851369,30312,0.2823486916037887,0.02432375252967908,24916,0.8
5-9B,8,-0.795986786964453,0.027651771263562337,20283,0.3716410748560461,0.03154083398856761,16672,1.17
10-29B,9,-0.8616081145792521,0.023487836413916843,22971,0.47077836062099293,0.02793948060701141,18873,1.33
>=30B,11,-0.7792869875222816,0.020822081457748772,28050,0.5263249272971917,0.02428794428589127,23039,1.31
All,40,-0.7247087072901905,0.011638353463344782,101616,0.41008383233532936,0.013325497205978861,83500,1.13
