size_group,n_models,villager_accuser__target_shift__suspect,villager_accuser__target_shift__suspect_ci95,villager_accuser__target_shift__suspect_n,villager_accuser__target_shift__accuse,villager_accuser__target_shift__accuse_ci95,villager_accuser__target_shift__accuse_n,villager_accuser__accuser_shift__suspect,villager_accuser__accuser_shift__suspect_ci95,villager_accuser__accuser_shift__suspect_n,villager_accuser__accuser_shift__accuse,villager_accuser__accuser_shift__accuse_ci95,villager_accuser__accuser_shift__accuse_n,wolf_accuser__target_shift__suspect,wolf_accuser__target_shift__suspect_ci95,wolf_accuser__target_shift__suspect_n,wolf_accuser__target_shift__accuse,wolf_accuser__target_shift__accuse_ci95,wolf_accuser__target_shift__accuse_n,wolf_accuser__accuser_shift__suspect,wolf_accuser__accuser_shift__suspect_ci95,wolf_accuser__accuser_shift__suspect_n,wolf_accuser__accuser_shift__accuse,wolf_accuser__accuser_shift__accuse_ci95,wolf_accuser__accuser_shift__accuse_n
<=4B,12,0.2409101048405086,0.046922717369988404,4483,0.9399913811678517,0.03495504115439649,9282,-0.6271014786307474,0.042667736600948365,4937,-0.5376765281929698,0.03302999073556536,9701,0.21143221419464514,0.04277667726328548,4706,0.695082376435347,0.03968892976607411,8012,-0.6434155141310884,0.04286907977110138,4989,-0.47378811142794475,0.0360890727533325,9118
5-9B,8,0.5175292153589316,0.06335743827002181,2995,1.0296153227104459,0.04796172768897694,6213,-0.8684848484848485,0.05574681106387181,3300,-0.7503847337642352,0.04072349383718591,6498,0.32825396825396824,0.05765321504253408,3150,0.8758157747529368,0.051093472475545,5363,-0.7749475576865448,0.058755899099425794,3337,-0.7284800787014265,0.04822824435316289,6099
10-29B,9,0.6387989402413895,0.0367051497528433,3397,1.0373898208700598,0.029305273471925103,7034,-0.36828028884728536,0.03736675058278762,3739,-0.3604572050619132,0.027703257522885782,7349,0.351457399103139,0.03531295091631746,3568,0.7814711206187264,0.03435737782905232,6077,-0.09112582781456954,0.04075773199954877,3775,-0.13511947863866763,0.034172127702160215,6905
>=30B,11,0.6223506743737958,0.03167716761542465,4152,0.9561168664881853,0.025819754689607458,8591,-0.4678196147110333,0.039341719620517364,4568,-0.43912220118079537,0.02827666983781303,8977,0.34235888022028454,0.030431169930756476,4358,0.6588854405613278,0.030723697520919538,7411,-0.12749349522983522,0.04220608654938749,4612,-0.07909738717339668,0.03436935106440843,8420
All,40,0.4913821787449258,0.022540057518098698,15027,0.9843508997429306,0.0171833298936526,31120,-0.5727756286266924,0.021958083737349483,16544,-0.5129285165257494,0.016293094528500394,32525,0.30255987834241543,0.020742702725778342,15782,0.7407214384097085,0.019424526166700817,26863,-0.4025608807515108,0.02327819872222089,16713,-0.3392705127365595,0.01913840206720918,30542
