size_group,n_models,villager_accuser__target_shift__trust,villager_accuser__target_shift__trust_ci95,villager_accuser__target_shift__trust_n,villager_accuser__target_shift__neutral,villager_accuser__target_shift__neutral_ci95,villager_accuser__target_shift__neutral_n,villager_accuser__target_shift__distrust,villager_accuser__target_shift__distrust_ci95,villager_accuser__target_shift__distrust_n,villager_accuser__accuser_shift__trust,villager_accuser__accuser_shift__trust_ci95,villager_accuser__accuser_shift__trust_n,villager_accuser__accuser_shift__neutral,villager_accuser__accuser_shift__neutral_ci95,villager_accuser__accuser_shift__neutral_n,villager_accuser__accuser_shift__distrust,villager_accuser__accuser_shift__distrust_ci95,villager_accuser__accuser_shift__distrust_n,wolf_accuser__target_shift__trust,wolf_accuser__target_shift__trust_ci95,wolf_accuser__target_shift__trust_n,wolf_accuser__target_shift__neutral,wolf_accuser__target_shift__neutral_ci95,wolf_accuser__target_shift__neutral_n,wolf_accuser__target_shift__distrust,wolf_accuser__target_shift__distrust_ci95,wolf_accuser__target_shift__distrust_n,wolf_accuser__accuser_shift__trust,wolf_accuser__accuser_shift__trust_ci95,wolf_accuser__accuser_shift__trust_n,wolf_accuser__accuser_shift__neutral,wolf_accuser__accuser_shift__neutral_ci95,wolf_accuser__accuser_shift__neutral_n,wolf_accuser__accuser_shift__distrust,wolf_accuser__accuser_shift__distrust_ci95,wolf_accuser__accuser_shift__distrust_n
<=4B,12,0.7820014398848092,0.04029575198549602,6945,0.7238095238095238,0.0459767429470788,5250,0.3721227621483376,0.08490683948745546,1564,-0.5546896363139185,0.03411959618282048,7314,-0.4570452911574407,0.04250207315644358,5564,-0.9727272727272728,0.0943689099973076,1760,0.7197083961789844,0.0545587117165878,3978,0.5013774104683195,0.04527551704951218,5445,0.2959245742092457,0.05700182003834653,3288,-0.5767269355586463,0.0478060095353196,4314,-0.48105208513583664,0.041004879443661005,5779,-0.5635276532137519,0.05874306122035102,4014
5-9B,8,1.0414819506016466,0.044785993408804584,6316,0.46798029556650245,0.0836670431926594,2233,0.49165402124430957,0.14770885571026945,659,-0.7471732247851651,0.03683989866075884,6633,-0.8427487352445194,0.07164378556774958,2372,-0.9924337957124842,0.1555544846840755,793,1.1771720613287904,0.05775435082854619,3522,0.36850271528316525,0.07451376399409318,2578,0.2631578947368421,0.06704385191089653,2413,-0.7341207349081365,0.05293551661903349,3810,-0.7973372781065089,0.06781988960378824,2704,-0.7104722792607803,0.07701802846845601,2922
10-29B,9,0.9934621531309022,0.02822157210972405,6883,0.8218911917098446,0.04255666484788736,3088,0.19782608695652174,0.12428654112836743,460,-0.3471933471933472,0.023614303234417027,7215,-0.4835466179159049,0.04675513116639448,3282,0.1116751269035533,0.14853767555483557,591,0.9712823429058857,0.041680498043251094,3517,0.6223298205639419,0.04191236094173314,3511,0.15361100496752006,0.0453324548583084,2617,-0.3241743725231176,0.037658411567502256,3785,-0.16875681570338058,0.04576910075026389,3668,0.17632475983885962,0.05290452101787482,3227
>=30B,11,0.9616387337057728,0.025014760424779264,8055,0.7227174174897615,0.03492555171151789,4151,0.09683426443202979,0.12176897422626366,537,-0.4252846299810247,0.023997570179359447,8432,-0.6253112972605841,0.04645382655678865,4417,0.3864942528735632,0.15272617172772696,696,0.9964285714285714,0.037139458427511415,3920,0.595691277975319,0.03429677720991953,4781,-0.12357352461688947,0.03861618746102331,3067,-0.43387250237868696,0.039522719493154376,4204,-0.24571883711668657,0.04616827159110692,5022,0.47398843930635837,0.047932103024120605,3806
All,40,0.9430476258023334,0.017287407839673544,28199,0.7052710229588371,0.024686414929017166,14722,0.32577639751552795,0.05797031965357453,3220,-0.5103737244035953,0.014898434717833836,29594,-0.5686600575631596,0.024896325945030197,15635,-0.5635416666666667,0.06735765713047862,3840,0.9594296043382206,0.024385943531628818,14937,0.5340484216978241,0.023472816603771644,16315,0.1432586736934563,0.026444591973210505,11385,-0.5173462421647117,0.022591681849270732,16113,-0.3953298782973272,0.024338303516057338,17173,-0.1406686233803422,0.030523936034889784,13969
